name,ticker,image,link,round,total_raised,pre_valuation,categories,date,ecosystem,investor_1,investor_2,investor_3,investor_4,investor_5,investor_6,investor_7,investor_8
"EarnBIT","EBT","https://icodrops.com/media/cache/0c/9c/0c9cf09cbcd70edcabce5efef70206d6.webp","https://icodrops.com/earnbit/","IEO","—","$10 M","CEX","85d left","","Ethereum","","","","","","",""
"Kalshi","","https://icodrops.com/media/cache/38/53/385320095c742ff47898e9be57811046.webp","https://icodrops.com/kalshi/","Possible Retrodrop","$3.02 B","$22 B","Predictions","from Q1, 2024","","Andreessen Horowitz (a16z)","Multicoin Capital","Paradigm","More Details","","","",""
"Polymarket","","https://icodrops.com/media/cache/e3/d3/e3d38e55ee7adc6c26031ae0cfb8a8bb.webp","https://icodrops.com/polymarket/","Possible Retrodrop","$3.88 B","$21 B","Predictions","from Q1, 2024","","1confirmation","Balaji Srinivasan","Blockchain Capital","More Details","","","",""
"Codex","","https://icodrops.com/media/cache/8e/63/8e637236cbfe7bd1789b5864cb2794cb.webp","https://icodrops.com/codex-2/","Possible Retrodrop","$15.8 M","—","Infrastructure","from Nov 14, 2025","","Coinbase Ventures","Cumberland","Dragonfly Capital","More Details","","","",""
"HyperSignals","","https://icodrops.com/media/cache/40/e9/40e9aa155eb8d694bd0d0f5f099abad0.webp","https://icodrops.com/hypersignals/","Incentivized Activities","—","—","Trading","from Dec 25, 2025","","","","","","","","",""
"ZNS Connect","ZNS","https://icodrops.com/media/cache/6a/f6/6af64bee3eecffe8fa860a8d948dc3d0.webp","https://icodrops.com/zns-connect/","Pre-Sale Phase 3","—","$16 M","Web 3.0","from Q4, 2025","","Ethereum","","","","","","",""
"SUBBD","SUBBD","https://icodrops.com/media/cache/20/60/206027f36e42971534fa1f1ca2dbe9c1.webp","https://icodrops.com/subbd/","Presale","$1.39 M","$56.85 M","Blockchain Service","from Dec 31, 2025","","Ethereum","","","","","","",""
"Probable","","https://icodrops.com/media/cache/54/f0/54f090c5c5a1b8dac00ea5a0396594f8.webp","https://icodrops.com/probable/","Incentivized Activities","—","—","Predictions","from Jan 12, 2026","","YZi Labs (prev Binance Labs)","PancakeSwap","Predict.fun","Binance coin","","","",""
"OpenGradient","OPG","https://icodrops.com/media/cache/0c/54/0c54e11dfa65322245667abccfb8d783.webp","https://icodrops.com/opengradient/","Incentivized Activities","$8.5 M","$104 M","Infrastructure","from Q1, 2026","","Andreessen Horowitz (a16z)","Balaji Srinivasan","Coinbase Ventures","More Details","Base","Binance coin","",""
"CIDER","CIDER","https://icodrops.com/media/cache/36/ba/36ba4ba87ac47fe5379a1d28d86c21f7.webp","https://icodrops.com/cider-protocol/","Private Round on Poolz","—","—","DeFi","from May 4, 2026","","","","","","","","",""
"MetaY","CLAW","https://icodrops.com/media/cache/98/7a/987a9c43fe7e267df4a4b61eda9f8ea5.webp","https://icodrops.com/metay/","IDO on Poolz","—","—","AI","from May 18, 2026","","Binance coin","","","","","","",""
"Solstice","SLX","https://icodrops.com/media/cache/6e/73/6e7360c5664847bb9ec25d510745cb5f.webp","https://icodrops.com/solstice/","Binance Alpha Airdrop","—","—","DeFi","from May 25, 2026","","Solana","","","","","","",""
"MicroFun","MICRO","https://icodrops.com/media/cache/2b/df/2bdf9c14a31d27c5b9e270e0b37d2d84.webp","https://icodrops.com/microfun/","IDO on Poolz","—","$3 M","Game","from Jun 23, 2026","","Base","","","","","","",""
"KOR Protocol","","https://icodrops.com/media/cache/f0/27/f027751f746ee8ef7e7b02f8e5d36519.webp","https://icodrops.com/kor-protocol/","Incentivized Activities","$7.5 M","—","Infrastructure","from Jul 7, 2026","","1kx","Blockchain Capital","Sfermion","More Details","Base","","",""
"CLIX","CLIX","https://icodrops.com/media/cache/75/6f/756f55e07357dc6188510f31d7de1ba2.webp","https://icodrops.com/clix/","IDO on BinStarter","—","$10 M","Lending","from Jul 27, 2026","","","","","","","","",""
"Alberich Token","ALBRH","https://icodrops.com/media/cache/d5/68/d5689ebdd9b34630ad0c8e46fff7a8f6.webp","https://icodrops.com/alberich-token/","IDO on Kommunitas","—","$8.76 M","Meme","from Jul 28, 2026","","","","","","","","",""
"Mavro","MAVRO","https://icodrops.com/media/cache/94/09/94099901472eefa6e084d6067442224c.webp","https://icodrops.com/mavro/","IDO on Poolz","—","$8.47 M","","from Sep 2, 2026","","Binance coin","","","","","","",""
"Superform","UP","https://icodrops.com/media/cache/fd/94/fd94fbc1a5f2e58eb75007447bc9ba6d.webp","https://icodrops.com/superform/","Incentivized Activities","$12.92 M","$54 M","Neobank","Active","+5","Polychain Capital","Amber Group","Strobe (Prev. BlockTower Capital)","More Details","Binance coin","Optimism","FANTOM","More Details"
