name,ticker,image,link,round,total_raised,pre_valuation,categories,date,ecosystem,investor_1,investor_2,investor_3,investor_4,investor_5,investor_6,investor_7
"CLIX","CLIX","https://icodrops.com/media/cache/75/6f/756f55e07357dc6188510f31d7de1ba2.webp","https://icodrops.com/clix/","TGE and Distribution","—","$10 M","Lending","Upcoming","","","","","","","",""
"Spaceway Token","SPWAY","https://icodrops.com/media/cache/f2/c8/f2c834687d41ff09b9812447da37a07a.webp","https://icodrops.com/spaceway-token/","TGE and Distribution","—","$240 M","Space","Upcoming","","","","","","","",""
"Gno.land","GNOT","https://icodrops.com/media/cache/b7/24/b7240b52bae7fa8b800bc473dc1d2057.webp","https://icodrops.com/gno-land/","TGE and Distribution","—","$85.98 M","Blockchain Platform","Upcoming","","","","","","","",""
"Credible","CRED","https://icodrops.com/media/cache/ba/8a/ba8a7d5e7e9061b2c4a735cb5854ecf6.webp","https://icodrops.com/credible/","TGE and Distribution","—","$200 M","Payments","Upcoming","","","","","","","",""
"OpenDelta","USDO","https://icodrops.com/media/cache/c3/56/c3562f78345b483aadbf4264386ba323.webp","https://icodrops.com/opendelta/","Private Sale","$2.15 M","—","Stablecoin","Upcoming","","6MV (6th Man Ventures)","Anagram Crypto","Anatoly Yakovenko","More Details","","",""
"ATEG Capital","ATEG","https://icodrops.com/media/cache/48/72/4872667541c8d47144a24826fd4cb9d5.webp","https://icodrops.com/ateg-capital/","Private Sale","—","—","RWA","Upcoming","","","","","","","",""
"USDai","","https://icodrops.com/media/cache/8e/d3/8ed3a665359d0067331519cf5ef9efbf.webp","https://icodrops.com/usdai/","Binance Wallet Sale","—","$198.37 M","Stablecoin","Upcoming","","Coinbase Ventures","","","","","",""
"WorldX","WLDX","https://icodrops.com/media/cache/33/91/33910d056831eeb007683be62f9fcb7f.webp","https://icodrops.com/worldx/","TGE and Distribution","—","$25 M","Exchange","Upcoming","","","","","","","",""
"Mendel","MENDEL","https://icodrops.com/media/cache/56/a4/56a417ee73562003415d6cb0de811e3e.webp","https://icodrops.com/mendel/","TGE and Distribution","—","—","Blockchain","Upcoming","","","","","","","",""
"Chatllat","CLAT","https://icodrops.com/media/cache/67/63/67638b7bbaa25b2f1716413944693373.webp","https://icodrops.com/chatllat/","IDO on Kommunitas","—","$6 M","Blockchain Service","Upcoming","","","","","","","",""
"Konnex","","https://icodrops.com/media/cache/3d/8a/3d8abd2a3fc36174ac112d02553019c7.webp","https://icodrops.com/konnex/","TGE and Distribution","$15 M","—","Blockchain Service","Upcoming","","LD Capital","Cogitent Ventures","Covey","More Details","","",""
"AntDrop","ANT","https://icodrops.com/media/cache/1f/a3/1fa338df9e2fe8cb0ea963af2a1ffbec.webp","https://icodrops.com/antdrop/","IDO on Spores","—","$10 M","Blockchain Service","Upcoming","","","","","","","",""
"ChimpX AI","CHIMP","https://icodrops.com/media/cache/fd/46/fd46e3e8197f75ec044fd4b725b3710c.webp","https://icodrops.com/chimpx-ai/","IDO on Eesee","—","$30 M","DeFi","Upcoming","","","","","","","",""
"Probable","","https://icodrops.com/media/cache/54/f0/54f090c5c5a1b8dac00ea5a0396594f8.webp","https://icodrops.com/probable/","TGE and Distribution","—","—","Predictions","Upcoming","","YZi Labs (prev Binance Labs)","PancakeSwap","Predict.fun","Binance coin","","",""
"PENXCHAIN","PENX","https://icodrops.com/media/cache/dd/42/dd42475b59833b40f42e93c7ab290872.webp","https://icodrops.com/penxchain/","TGE and Distribution","—","$3 M","Blockchain Service","Upcoming","","","","","","","",""
"HyperSignals","","https://icodrops.com/media/cache/40/e9/40e9aa155eb8d694bd0d0f5f099abad0.webp","https://icodrops.com/hypersignals/","TGE and Distribution","—","—","Trading","Upcoming","","","","","","","",""
"Solstice","SLX","https://icodrops.com/media/cache/6e/73/6e7360c5664847bb9ec25d510745cb5f.webp","https://icodrops.com/solstice/","TGE and Distribution","—","—","DeFi","Upcoming","","Solana","","","","","",""
"SONAMI","SNMI","https://icodrops.com/media/cache/bd/2b/bd2b07b020cd6eed8e1f4ab2ef7e869e.webp","https://icodrops.com/sonami/","TGE and Distribution","$13 K","$83 M","Layer2","Upcoming","","Solana","","","","","",""
"Chainers","CHU","https://icodrops.com/media/cache/85/6c/856c0fcc060dd726e68877173ad71537.webp","https://icodrops.com/chainers/","Presale","—","$19.98 M","GameFi","Upcoming","","","","","","","",""
"SecantX AI","SECA","https://icodrops.com/media/cache/e0/4d/e04de92e046cf25b5ab8f1e0d4210643.webp","https://icodrops.com/secantx-ai/","TGE and Distribution","$300 K","$70 M","Analytics","Upcoming","","","","","","","",""
"Talisman","SEEK","https://icodrops.com/media/cache/d4/4a/d44a62be0242102488e4bb9b075b532c.webp","https://icodrops.com/talisman/","IDO on Eesee","$2.35 M","$30 M","DeFi","Upcoming","","Hypersphere Ventures","D1 Ventures","Digital Finance Group (DFG)","More Details","","",""
"Arc","","https://icodrops.com/media/cache/53/9d/539d7b326bbd9c13118fc7f8f8c26db6.webp","https://icodrops.com/arc/","TGE and Distribution","—","—","Blockchain","Upcoming","","","","","","","",""
"MiRA","CAML","https://icodrops.com/media/cache/12/73/12732bbba366dccb332a8d135f97641f.webp","https://icodrops.com/mira-2/","TGE and Distribution","—","$250 M","Blockchain Service","Upcoming","","","","","","","",""
"FighterCat","FIGHTERC","https://icodrops.com/media/cache/46/70/467072880b0121c20d187e0333e68450.webp","https://icodrops.com/fightercat/","TGE and Distribution","—","$2 M","Meme","Upcoming","","Solana","","","","","",""
"Monorail","","https://icodrops.com/media/cache/ae/a7/aea73b9c49af4b7a45fe34f5ee1aaa84.webp","https://icodrops.com/monorail/","TGE and Distribution","$250 K","—","DeFi","Upcoming","","Monad","","","","","",""
"ByteDance rTTOK","rTTOK","https://icodrops.com/media/cache/ac/9a/ac9aa02719d039fce1958f2eb162b45f.webp","https://icodrops.com/bytedance-rttok/","TGE and Distribution","—","—","Blockchain Service","Upcoming","","Solana","","","","","",""
"BlaBla Protocol","BLA","https://icodrops.com/media/cache/f6/72/f672179827df4e0718416f4d7037789a.webp","https://icodrops.com/blabla-protocol/","TGE and Distribution","—","$2 M","Social","Upcoming","","","","","","","",""
"Taunt AI","TNT","https://icodrops.com/media/cache/e2/66/e266f5b13d1383e80ebd2e97a6a57146.webp","https://icodrops.com/taunt-ai/","TGE and Distribution","—","$30 M","Social","Upcoming","","","","","","","",""
"Seedli Capital","SEEDLI","https://icodrops.com/media/cache/45/9f/459f20978b3262b3fbee7c6837450e4e.webp","https://icodrops.com/seedli-capital/","TGE and Distribution","—","$5 M","DeFi","Upcoming","","Polygon (ex-Matic Network)","","","","","",""
"Lern360","LERN","https://icodrops.com/media/cache/23/94/2394d0a36b9f400d25cfb80e5d32f5f2.webp","https://icodrops.com/lern360/","TGE and Distribution","—","$200 M","Artificial Intellig…","Upcoming","","","","","","","",""
"Moseiki","","https://icodrops.com/media/cache/18/2b/182b1b4953b02af81078e2875602228a.webp","https://icodrops.com/moseiki/","TGE and Distribution","$700 K","$10 M","Social","Upcoming","","","","","","","",""
"AIDEFI","AIDEFI","https://icodrops.com/media/cache/94/5c/945c7fe5c386968bf9df421936c35877.webp","https://icodrops.com/aidefi/","TGE and Distribution","—","$150 K","DeFi","Upcoming","","","","","","","",""
"RateX.AI","","https://icodrops.com/media/cache/30/8b/308be007bae58431427e730c1030c80a.webp","https://icodrops.com/ratexai/","TGE and Distribution","$3 M","—","Analytics","Upcoming","","","","","","","",""
"Gambit","GAMBIT","https://icodrops.com/media/cache/50/ff/50ffa933340d808f0c4eb8cdbfc3bce3.webp","https://icodrops.com/gambit/","TGE and Distribution","—","$12 M","Bets","Upcoming","","Base","","","","","",""
"Phron AI","ZPHR","https://icodrops.com/media/cache/81/01/8101bee742930595cb332e19c5426a56.webp","https://icodrops.com/phron-ai/","TGE and Distribution","—","$1 M","Artificial Intellig…","Upcoming","","Solana","","","","","",""
"Betura","BETURA","https://icodrops.com/media/cache/47/e5/47e5080569790087d67c8abe20568981.webp","https://icodrops.com/betura/","TGE and Distribution","—","$2.5 M","Bets","Upcoming","","Solana","","","","","",""
"Lendr.fi","RWAL","https://icodrops.com/media/cache/ed/c7/edc7979a439bfc3bc1820c81fa266c6d.webp","https://icodrops.com/lendr-fi/","TGE and Distribution","$600 K","$300 M","DeFi","Upcoming","","Avalanche Foundation","Brinc","Colony Lab","More Details","","",""
"Dynamo Protocol","DYNAMO","https://icodrops.com/media/cache/a2/00/a2008172356f6b536bdb35aedb1f7fcf.webp","https://icodrops.com/dynamo-protocol/","TGE and Distribution","—","—","DeFi","Upcoming","","","","","","","",""
"RISE Chain","","https://icodrops.com/media/cache/2e/b9/2eb96186e0e863fb989604173a6e9493.webp","https://icodrops.com/rise-chain/","TGE and Distribution","$7.2 M","—","Blockchain","Upcoming","","Vitalik Buterin","Galaxy","Stani Kulechov","More Details","","",""
"XorionChain","XOR","https://icodrops.com/media/cache/65/40/654019fc624dc02f4db3470489746294.webp","https://icodrops.com/xorionchain/","TGE and Distribution","—","$60 M","Blockchain","Upcoming","","Polkadot","","","","","",""
"PIN AI","","https://icodrops.com/media/cache/78/0a/780ac0a487302c1740efb0df670cba9d.webp","https://icodrops.com/pin-ai/","TGE and Distribution","$10 M","—","Artificial Intellig…","Upcoming","","Andreessen Horowitz (a16z)","Hack VC","Alumni Ventures","More Details","","",""
"AfriCred","IFT","https://icodrops.com/media/cache/7c/60/7c60cb3f5771bdcaf3c050f632067ed1.webp","https://icodrops.com/africred/","Presale","—","$26 M","Finance","Upcoming","","Binance coin","","","","","",""
"VOX","VOX","https://icodrops.com/media/cache/60/04/60041b4beabd3979d3c4c265614f4ae5.webp","https://icodrops.com/vox/","TGE and Distribution","—","$1.72 M","Trading","Upcoming","","","","","","","",""
"8x Capital","8x","https://icodrops.com/media/cache/db/32/db32af8481f733067d88eabf402689b5.webp","https://icodrops.com/8x-capital/","IDO on BSClaunch","—","$10 M","DeFi","Upcoming","","","","","","","",""
"Bitcoin Hyper","HYPER","https://icodrops.com/media/cache/91/84/9184770d8dd1bf55b2f8afebd1d2967b.webp","https://icodrops.com/bitcoin-hyper/","TGE and Distribution","$29.29 M","$282.98 M","Layer2","Upcoming","","Binance coin","Solana","Ethereum","","","",""
"Kuru","","https://icodrops.com/media/cache/f3/18/f318a86d03ad1939b6799042305092fd.webp","https://icodrops.com/kuru/","TGE and Distribution","$13.6 M","—","DeFi","Upcoming","","Brevan Howard","Electric Capital","Paradigm","More Details","Monad","",""
"Cogni AI Agents","COGNI","https://icodrops.com/media/cache/4a/3d/4a3de09fbe0b23e1c8b98e607f520f89.webp","https://icodrops.com/cogni-ai-agents/","TGE and Distribution","$219.6 K","$180 M","Artificial Intellig…","Upcoming","","Ethereum","","","","","",""
"EternalMoon","ETM","https://icodrops.com/media/cache/52/d9/52d9608ac3a3a7dcc2eb123f9fe3f6d0.webp","https://icodrops.com/eternalmoon/","TGE and Distribution","—","—","RWA (Real World Ass…","Upcoming","","","","","","","",""
"Rank Trading","RAN","https://icodrops.com/media/cache/54/8b/548bd137a92e19cf050b889bb4f0061c.webp","https://icodrops.com/rank-trading/","TGE and Distribution","—","$2 M","DeFi","Upcoming","","Binance coin","","","","","",""
"Friendly Giant AI","GIANTAI","https://icodrops.com/media/cache/33/80/3380ee366f61e0092a41923778567350.webp","https://icodrops.com/friendly-giant-ai/","TGE and Distribution","—","$5 M","AI Agents","Oct 31, 2025","","","","","","","",""
"Inference Labs","","https://icodrops.com/media/cache/d4/43/d443e0812d274bed3d900443e8894a8b.webp","https://icodrops.com/inference-labs/","TGE and Distribution","$2.3 M","—","Infrastructure","Upcoming","","Delphi Digital (Delphi Labs)","BitScale Capital","Mechanism Capital","More Details","","",""
"Perceptron Network (ex Block Me…","BMH","https://icodrops.com/media/cache/b7/e3/b7e3bfe36f488a72d2d89519eef77823.webp","https://icodrops.com/blockmesh-network/","TGE and Distribution","—","—","Infrastructure","Upcoming","","Selini Capital","Momentum 6","P2 Ventures","More Details","","",""
"Durian.win","DUR","https://icodrops.com/media/cache/fe/76/fe762a473aee65c82f1d3ac267cdbafa.webp","https://icodrops.com/durianwin/","TGE and Distribution","—","—","Trade","Upcoming","","","","","","","",""
"Grafilab","GRAFI","https://icodrops.com/media/cache/ee/76/ee76e14061eaab491f07fd467bc48884.webp","https://icodrops.com/grafilab/","TGE and Distribution","$50 K","—","Infrastructure","Upcoming","","Solana","","","","","",""
"AIRO","AIRO","https://icodrops.com/media/cache/7b/e3/7be3b5457966b94b8263b3a1d348e868.webp","https://icodrops.com/airo/","TGE and Distribution","—","—","AI Agents","Upcoming","","","","","","","",""
"Hedgecast AI","HEDGE","https://icodrops.com/media/cache/f4/23/f4236c7f2feae5c178a0e86ff79a01d7.webp","https://icodrops.com/hedgecast-ai/","IDO on Poolz","—","$2.35 M","AI Agents","Upcoming","","","","","","","",""
"Electron","","https://icodrops.com/media/cache/2b/62/2b62743cb7c9bbf7870cb7d007baf82b.webp","https://icodrops.com/electron-2/","TGE and Distribution","$1 M","—","Infrastructure","Upcoming","","Sandeep Nailwal","Aniket Jindal","Anurag Arjun","More Details","Ethereum","",""
"BitSwapix","BITS","https://icodrops.com/media/cache/9e/7b/9e7babb2dc7c7f5eff4c2478c9a1091a.webp","https://icodrops.com/bitswapix/","TGE and Distribution","$4.83 M","—","DeFi","Upcoming","","","","","","","",""
"eOracle","","https://icodrops.com/media/cache/71/b7/71b7a62f12008f88dfc87ba843f9c677.webp","https://icodrops.com/eoracle/","ICM on Legion","—","—","Oracle","Upcoming","","Ethereum","","","","","",""
"Nil","","https://icodrops.com/media/cache/7c/14/7c1440b81ef06de7a61d63128775ae36.webp","https://icodrops.com/nil/","TGE and Distribution","$600 K","—","Layer2","Upcoming","","Ethereum","","","","","",""
